ticker,window_start,open,close,high,low,volume,transactions
QQQ,1772032800000000000,614.38,614.46,614.53,614.16,119928.868897,3004
QQQ,1772032860000000000,614.46,614.44,614.5,614.06,132541.842131,3090
QQQ,1772032920000000000,614.44,614.59,614.76,614.27,681335.366509,3651
QQQ,1772032980000000000,614.59,614.49,614.71,614.37,185696.716369,3862
QQQ,1772033040000000000,614.48,614.67,614.79,614.48,157839.29435,3516
QQQ,1772033100000000000,614.67,614.78,614.93,614.625,191969.974159,3538
QQQ,1772033160000000000,614.775,614.75,614.93,614.56,155549.700555,3427
QQQ,1772033220000000000,614.74,615.0663,615.09,614.705,180807.291884,3840
QQQ,1772033280000000000,615.06,615.265,615.41,615.0544,276415.007693,4877
QQQ,1772033340000000000,615.26,615.26,615.345,615.135,166075.079217,3691
QQQ,1772033400000000000,615.26,615.16,615.3,614.94,189667.778931,4324
QQQ,1772033460000000000,615.17,615.14,615.44,615.11,181747.595522,4300
QQQ,1772033520000000000,615.15,615.348,615.355,615.08,136726.699989,3493
QQQ,1772033580000000000,615.34,615.09,615.36,614.99,159721.407153,3864
QQQ,1772033640000000000,615.09,614.4,615.12,614.315,372022.677837,5481
QQQ,1772033700000000000,614.39,614.29,614.52,614.095,276264.54777,5045
QQQ,1772033760000000000,614.3,614.43,614.55,614.295,162012.410817,3649
QQQ,1772033820000000000,614.42,614.43,614.49,614.24,102310.914763,3786
QQQ,1772033880000000000,614.44,614.44,614.52,614.29,121953.304945,3049
QQQ,1772033940000000000,614.43,614.36,614.53,614.33,126285.261069,2608
QQQ,1772034000000000000,614.37,614.32,614.54,614.3,146975.317952,3249
QQQ,1772034060000000000,614.34,614.48,614.53,614.28,118755.835927,2848
QQQ,1772034120000000000,614.49,614.7399,614.795,614.46,217827.89572,3924
QQQ,1772034180000000000,614.74,614.51,614.77,614.3908,181499.080746,3704
